Name_of_Covered_Entity	State	Individuals_Affected	Date_of_Breach	Type_of_Breach	Month	Year
Anthem Blue Cross Blue Shield (IN)	IN	528	11/01/2011	Theft, Unauthorized Access/Disclosure	11	2011
Concentra Health	TX	870	11/30/2011	Theft	11	2011
Monmouth Medical Center	NJ	6443	06/24/2011	Theft	06	2011
Ortho Montana, PSC	MT	37000	01/8/2011	Theft, Loss	01	2011
Options Counseling Center	NJ	2828	05/1/2011	Theft, Unauthorized Access/Disclosure	05	2011
Alliance HealthCare Services, Inc.	CA	1474	07/31/2010	Theft	07	2010
Treatment Services Northwest	OR	1200	07/8/2011	Theft	07	2011
University of Kentucky - UK HealthCare	KY	3604	06/7/2011	Theft	06	2011
Blue Cross of Northeastern Pennsylvania	PA	507	09/9/2011	Theft, Unauthorized Access/Disclosure	09	2011
Adult & Pediatric Dermatology, PC	MA	2200	09/14/2011	Theft	09	2011
Chicago Musculoskeletal Institute/Metro Orthopedics	IL	750	12/31/2011	Other	12	2011
Indiana University	IN	3266	08/16/2011	Theft	08	2011
Keith & Fisher, DDS, PA	NC	6000	02/16/2011	Hacking/IT Incident	02	2011
Logan County Emergeny Ambulance Service Authority	WV	12563	10/1/2011	Theft, Loss	10	2011
County of Los Angeles	CA	667	02/23/2011	Theft	02	2011
Sierra Plastic Surgery	NV	800	08/19/2011	Unauthorized Access/Disclosure, Hacking/IT Incident	08	2011
Charleston Area Medical Center, Inc	WV	3655	02/8/2011	Unauthorized Access/Disclosure	02	2011
Independence Physical Therapy	CT	925	08/1/2011	Theft	08	2011
network180	MI	1100	09/16/2011	Theft	09	2011
Medco Health Solutions, Inc.	NJ	1287	11/30/2011	Theft	11	2011
HealthCare Partners	CA	15677	04/17/2011	Theft	04	2011
Accendo	AZ	175350	01/1/2011	Unauthorized Access/Disclosure	01	2011
VA Illiana Health Care System	IL	518	07/14/2011	Loss	07	2011
NYU Hospital for Joint Diseases Inventory Management Department	NY	2600	06/23/2011	Theft	06	2011
TRICARE Management Activity (TMA)	VA	4900000	09/13/2011	Loss	09	2011
Metropolitan Community Health Services, Inc.	NC	1263	05/18/2011	Unknown	05	2011
Blue Cross and Blue Shield of Florida 	FL	3463	04/11/2011	Unauthorized Access/Disclosure	04	2011
Gene S. J. Liaw, MD. PS	WA	1105	04/4/2011	Loss	04	2011
Richard Switzer MD PC	MI	4100	11/29/2011	Other	11	2011
The Neurological Institute of Savannah & Center for Spine	GA	63425	07/2/2011	Theft	07	2011
Oregon Health & Science University	OR	1361	01/01/2011	Unauthorized Access/Disclosure	01	2011
Dr Axel Velez	PR	2800	06/19/2011	Theft	06	2011
Paul C. Brown, MD, PS	WA	4693	10/14/2011 	Theft	10	2011 
Minne-Tohe Health Center/Elbowoods Memorial Health Center	ND	10000	10/1/2011	Improper Disposal, Unauthorized Access/Disclosure	10	2011
Muir Orthopaedic Specialists, A Medical Group Inc.	CA	1800	07/27/2011	Theft	07	2011
United States Steel Corporation Plan for Active Employee Insurance Benefits and the United States Steel Corporation Plan for Retiree Insurance Benefits	PA	4000	08/15/2011	Loss	08	2011
St. Joseph Medical Center	MD	5000	09/11/2011	Theft	09	2011
Beth Israel Deaconess Medical Center	MA	2021	04/17/2011	Hacking/IT Incident	04	2011
Community Medical Center	NJ	6950	06/24/2011	Theft	06	2011
Jonathan Noel MD	IN	2059	07/13/2011	Theft	07	2011
UnitedHealth Group health plan single affiliated covered entity	MN	3994	07/28/2011	Theft	07	2011
IntraCare North Hospital	TX	750	03/15/2011 	Theft	03	2011 
Freda J Bowman  MD PA	TX	1300	09/20/2011	Unauthorized Access/Disclosure, Hacking/IT Incident	09	2011
Sutter Gould Medical Foundation (SGMF)	CA	1192	05/23/2011	Loss	05	2011
MacNeal Physician Group	IL	532	03/10/2011	Hacking/IT Incident	03	2011
Genesis Clinical Laboratory	IL	1070	03/10/2011	Hacking/IT Incident	03	2011
American Health Medicare 	PR	5848	06/1/2011	Theft	06	2011
Reid Hospital & Health Care Services	IN	22001	04/2/2011	Theft	04	2011
Smile Designs	FL	1670	12/1/2011	Theft	12	2011
Molina Medicare	CA	4573	01/1/2011	Unauthorized Access/Disclosure	01	2011
CENTER FOR ARTHRITIS & RHEUMATIC DISEASES	FL	8000	01/1/2011	Theft	01	2011
Brigham and Women's Hospital and Faulkner Hospital 	MA	638	06/21/2011	Theft	06	2011
Baptist Health System	TX	678	08/14/2011	Unauthorized Access/Disclosure	08	2011
VA Caribbean Healthcare System	PR	6006	03/30/2011	Theft	03	2011
Kaiser Permanente Northern CA Department of Research	CA	5178	10/18/2011	Hacking/IT Incident	10	2011
Dr. Victoria Falcone, Falcone Cosmetic Services, PC, Falcone Cosmetic Services of NJ, PC	PA	3000	08/14/2011	Theft, Unauthorized Access/Disclosure	08	2011
Ashley Industrial Molding, Inc. Employee Welfare Benefit Plan 	IN	506	05/9/2011	Hacking/IT Incident	05	2011
Drs Edalji and Komer	MA	563	04/12/2011	Theft	04	2011
MAPFRE Life	PR	2209	08/5/2011	Theft	08	2011
Medcenter One	ND	650	10/21/2011	Theft	10	2011
Foundation Medical Partners	NH	771	11/19/2011 	Theft	11	2011 
Walgreen Co.	IL	2700	01/26/2011	Theft	01	2011
UnitedHealth Group health plan single affiliated covered entity	MN	6678	12/15/2011	Other	12	2011
Patient Care Services at Saint Francis, Inc.	OK	84000	01/13/2011	Theft	01	2011
Newark Beth Israel Medical Center	NJ	15015	06/24/2011	Theft	06	2011
WAYNE HIGHLANDS SCHOOL DISTRICT	PA	579	09/9/2011	Theft, Unauthorized Access/Disclosure	09	2011
Windsor Health Plan	TN	1378	03/1/2011	Unauthorized Access/Disclosure	03	2011
State of Delaware Health Plan	DE	22642	08/16/2010	Other	08	2010
Texas Health and Human Services Commission	TX	1696	03/10/2011	Theft	03	2011
Saint Barnabas Medical Center	NJ	6179	06/24/2011	Theft	06	2011
Empire Blue Cross Blue Shield	IN	2608	11/01/2011	Theft, Unauthorized Access/Disclosure	11	2011
Saint Joseph - Berea	KY	1986	04/14/2011	Theft, Loss	04	2011
Methodist Charlton Medical Center	TX	1500	04/16/2011	Theft	04	2011
Morris Heights Health Center	NY	927	08/27/2011	Theft	08	2011
Aiken Community Based Outpatient Clinic	SC	2717	02/16/2011	Improper Disposal	02	2011
FOOTHILLS NEPHROLOGY, PC	SC	1280	04/28/2011	Theft	04	2011
St. Francis Hospital	DE	948	06/1/2011	Loss	06	2011
John T. Melvin, M.D.& Associates	TX	2541	08/9/2011	Theft	08	2011
Health Care Service Corporation	IL	501	06/28/2011	Theft	06	2011
CardioNet, Inc	PA	1300	11/10/2011	Theft	11	2011
New River Health Association	WV	950	04/1/2011	Unauthorized Access/Disclosure	04	2011
Fairview Health Services	MN	1215	02/19/2011	Loss	02	2011
Time Insurance Company	WI	675	02/1/2011	Unauthorized Access/Disclosure	02	2011
Cancer Care Northwest P.S.	WA	3100	01/7/2011	Theft	01	2011
West Lake Hospital 	IL	686	03/10/2011	Hacking/IT Incident	03	2011
CVS CAREMARK	AZ	654	01/17/2011	Theft, Unauthorized Access/Disclosure	01	2011
Jay C. Platt, DDS	IN	10705	10/6/2011	Theft	10	2011
Metro Community Provider Network	CO	3200	12/5/2011	Hacking/IT Incident, Other	12	2011
CardioNet, Inc.	PA	728	12/29/2011	Theft	12	2011
Soundpath Health, Inc	WA	7581	11/22/2011	Theft	11	2011
Clara Maass Medical Center	NJ	8795	06/24/2011	Theft	06	2011
San Jose Medical Supply Co., Inc.	CA	800	10/01/2011	Theft, Unauthorized Access/Disclosure, Hacking/IT Incident	10	2011
KCI USA, Inc.	TX	567	09/8/2011	Theft	09	2011
Imaging Center of Garland	TX	1031	03/15/2011	Improper Disposal	03	2011
State of Tennessee Sponsored Group Health Plan	TN	1770	10/6/2011	Unauthorized Access/Disclosure	10	2011
Bonney Lake Medical Center and Mythili R. Ramachandran, MD	WA	2367	08/12/2011	Theft	08	2011
Good Samaritan Hospital	MD	1500	09/9/2011	Theft	09	2011
American Continental Insurance Company	TN	690	07/28/2011	Theft	07	2011
UnitedHealth Group health plan single affiliated covered entity	MN	19100	06/28/2011 	Unauthorized Access/Disclosure	06	2011 
Texas Health Presbtyerian Hospital Flower Mound	TX	10345	06/21/2011	Theft	06	2011
Lansing Community College	MI	5000	05/9/2011	Hacking/IT Incident	05	2011
HEALTH RESEARCH INSTITUTE, INC., PFEIFFER TREATMENT CENTER	IL	2000	07/1/2011	Theft	07	2011
Safe Ride Services, Inc	AZ	42000	08/31/2011	Unauthorized Access/Disclosure, Hacking/IT Incident	08	2011
Yanez Dental Corporation	CA	10190	05/22/2011	Theft	05	2011
Amerigroup Community Care of New Mexico, Inc	NM	1537	07/15/2011	Theft	07	2011
Memorial Healthcare System	FL	105646	01/01/2011 	Theft	01	2011 
Indiana University School of Optometry	IN	757	08/12/2011	Unauthorized Access/Disclosure	08	2011
Loma Linda University Medical Center (LLUMC)	CA	1366	12/19/2011	Other	12	2011
New York State Department of Health	NY	550	04/17/2011	Theft	04	2011
Flex Physical Therapy	WA	3100	12/30/2011	Theft	12	2011
MDwise, Inc.	IN	2700	02/10/2011	Unauthorized Access/Disclosure	02	2011
PBH	NC	50000	11/15/2011	Unauthorized Access/Disclosure, Other	11	2011
Fairview Health Services	MN	623	07/25/2011	Theft	07	2011
PMC Medicare Choice	PR	24361	03/8/2011	Theft	03	2011
Georgetown University Hospital	DC	1526	09/9/2011	Loss	09	2011
Memorial Healthcare System	FL	9497	08/01/2011 	Other	08	2011 
WYATT DENTAL GROUP, LLC	LA	10271	11/04/2011 	Theft, Unauthorized Access/Disclosure	11	2011 
Anthem Blue Cross Blue Shield (OH)	IN	1678	11/01/2011	Theft, Unauthorized Access/Disclosure	11	2011
First Step Counseling, Inc.	NJ	638	05/01/2011 	Theft	05	2011 
Robert B. Neves, M.D., Inc	CA	611	05/8/2011	Theft	05	2011
Spectrum Health Ssytems, Inc.  	MA	14750	08/24/2011	Theft	08	2011
Louisiana State University Health Care Services Division	LA	6994	12/1/2011	Unauthorized Access/Disclosure	12	2011
South Miami Hospital	FL	834	06/1/2011	Unauthorized Access/Disclosure	06	2011
Union Security Insurance Company	MO	935	02/18/2011	Unauthorized Access/Disclosure	02	2011
MMM Healthcare, Inc.	PR	32390	03/8/2011	Theft	03	2011
Union Security Insurance Company	MO	850	03/24/2011	Unauthorized Access/Disclosure	03	2011
United of Omaha Life Insurance Company	NE	1631	07/28/2011	Loss	07	2011
awklein a med corp	CA	2000	02/1/2011	Theft	02	2011
EISENHOWER MEDICAL CENTER	CA	514330	03/11/2011	Theft	03	2011
Gypsum Management and Supply, Inc. Medical and Dental Plan	GA	25330	05/9/2011	Unauthorized Access/Disclosure	05	2011
University of Missouri Health Care	MO	1288	06/14/2011	Unknown	06	2011
Health Plan of San Mateo	CA	694	04/25/2011	Unauthorized Access/Disclosure	04	2011
Lankenau Medical Center	PA	500	09/6/2011	Theft	09	2011
University of Miami 	FL	1219	11/24/2011	Theft	11	2011
UnitedHealth Group health plan single affiliated covered entity	MN	3537	06/28/2011	Unauthorized Access/Disclosure	06	2011
Rhinebeck Health Center/Center for Progressive Medicine	NY	6745	11/15/2011	Theft	11	2011
Henry Ford Hospital	MI	2777	01/31/2011	Loss	01	2011
Summit Medical Group, PLLC	TN	731	09/4/2011	Theft	09	2011
NOL, LLC d/b/a Premier Radiology	TN	810	05/7/2011	Theft	05	2011
TUBA CITY REGIONAL HEALTH CARE CORPORATION	AZ	2000	04/1/2011	Loss, Improper Disposal	04	2011
University of Wisconsin Oshkosh	WI	3000	07/18/2011	Hacking/IT Incident	07	2011
The Good Samaritan Hospital of Cincinnati, Ohio	OH	1089	09/3/2011	Theft	09	2011
Jackson Health System	FL	566	05/26/2011 	Other	05	2011 
Goshen Health System, Inc.	IN	660	12/22/2011	Hacking/IT Incident	12	2011
Department of Health Care Policy and Financing	CO	3589	05/6/2011	Loss	05	2011
Health Texas Provider Network	TX	1259	07/27/2011	Theft	07	2011
Georgetown University Hospital	DC	1549	11/1/2011	Unauthorized Access/Disclosure	11	2011
WESTMED Medical Group	NY	578	08/17/2010	Theft	08	2010
Dallas County Hospital District dba Parkland Health & Hospital System	TX	2464	09/5/2011	Unauthorized Access/Disclosure	09	2011
Rape & Brooks Orthodontics, P.C.	AL	20744	02/3/2011	Theft	02	2011
Reznick Group, P.C.	MD	2459	05/9/2011	Hacking/IT Incident	05	2011
Department of Medical Assistance Services	VA	1444	11/02/2011 	Unauthorized Access/Disclosure, Other	11	2011 
Lawrence Memorial Hospital	KS	8275	09/20/2011 	Unauthorized Access/Disclosure, Other	09	2011 
Navos	WA	2700	03/15/2011	Unknown	03	2011
Thomas Jefferson University Hospitals, Inc.	PA	3150	09/6/2011	Theft	09	2011
Ohio Health Plans	OH	78042	06/3/2011	Theft	06	2011
Muskogee Regional Medical Center	OK	844	12/5/2011	Loss	12	2011
Coastal Behavioral Healthcare, Inc.	FL	4907	04/11/2011	Theft	04	2011
Concordia Plan Services	MO	7059	05/10/2011	Loss	05	2011
Roberts S. Smith M.D. Inc.	GA	17000	10/17/2011	Theft	10	2011
Dunes Family Health Care, P.C	OR	17000	03/11/2011	Theft	03	2011
Fairview Health Services	MN	14000	07/25/2011	Theft	07	2011
Catholic Social Services	AK	1700	02/1/2011	Theft	02	2011
North Memorial	MN	6697	07/25/2011	Theft	07	2011
Jamaica Hospital Medical Center	NY	26162	08/1/2011	Unauthorized Access/Disclosure	08	2011
University of Kentucky UK HealthCare	KY	878	09/25/2011	Loss	09	2011
Cook County Health & Hospitals System	IL	32008	06/24/2011	Theft	06	2011
California Industrial Medicine, Inc.	CA	700	09/28/2011	Theft, Unauthorized Access/Disclosure	09	2011
University of Michigan Health System	MI	3999	11/14/2012	Theft	11	2012
Gessler Clinic, P.A.	FL	1409	05/03/2012	Theft	05	2012
St. Mary Medical Center	CA	3900	05/7/2012	Loss	05	2012
University of Mississippi Medical Center	MS	500	11/01/2012	Loss	11	2012
Mount Sinai Medical Center	FL	628	10/01/2012 	Theft	10	2012 
Alexander J. Tikhtman, M.D.	KY	2376	08/15/2012	Loss	08	2012
St. Francis Health Network, aka Franciscan Alliance ACO	IN	2575	10/19/2012	Other	10	2012
Tufts Associated Health Maintenance Organization, Inc. and Tufts Insurance Company	MA	3482	01/17/2012	Other	01	2012
Sharon L. Rogers, Ph.D., ABPP	TX	585	06/16/2012	Theft	06	2012
Our Lady of the Lake Regional Medical Center	LA	17000	03/16/2012	Theft, Loss	03	2012
The University of Texas MD Anderson Cancer Center	TX	29021	04/30/2012	Theft	04	2012
Center for Orthopedic Research and Education, Inc.	AZ	35488	10/20/2012 	Theft	10	2012 
Rite Aid Store 1343	WV	2905	03/26/2012	Theft	03	2012
Bruce G. Peller, DMD, PA	NC	9953	04/22/2012	Unauthorized Access/Disclosure	04	2012
VNA HealthCare	CT	7461	06/25/2012	Theft	06	2012
Lake Granbury Medical Center	TX	502	02/13/2012	Theft	02	2012
 Philip P Corneliuson, DDS, INC.	CA	980	09/15/2012	Theft	09	2012
SHIELDS For Families 	CA	961	02/27/2012	Theft	02	2012
Hawaii State Department of Health, Adult Mental Health Division	HI	674	09/25/2012	Hacking/IT Incident	09	2012
City of El Centro Fire Department	CA	1500	10/1/2012	Theft, Unauthorized Access/Disclosure	10	2012
Sentara Healthcare	VA	3645	10/01/2012 	Theft	10	2012 
Okaloosa County Public Safety	FL	715	06/15/2012 	Theft	06	2012 
Riderwood Village	MD	5270	11/18/2012	Theft	11	2012
Cancer Care Group, P.C.	IN	55000	07/19/2012	Theft	07	2012
Luz Colon, DPM  Podiatry 	FL	1137	03/20/2012	Theft, Loss	03	2012
Roy E. Gondo, M.D.	WA	2100	02/21/2012	Theft	02	2012
Children's Hospital Boston	MA	2159	03/25/2012	Theft	03	2012
Oldendorf Medical Services, PLLC	NY	549	01/17/2012	Theft	01	2012
Stronghold Counseling Services Inc	SD	8500	12/24/2012	Theft	12	2012
Arizona Oncology	AZ	501	11/21/2012	Theft	11	2012
Charlotte Clark-Neitzel, MD	WA	942	07/24/2012	Theft	07	2012
CCS Medical, Inc.	TX	6601	05/01/2012 	Unauthorized Access/Disclosure	05	2012 
West Dermatology	CA	1900	04/21/2012 	Theft	04	2012 
Grupo Medico IPA -341	PR	7923	01/11/2012	Theft	01	2012
Crescent Health Inc. - a Walgreens Company	CA	109000	12/28/2012	Theft	12	2012
Stephen Haggard, DPM Podiatry 	WA	1597	03/4/2012	Theft	03	2012
William F. DeLuca Jr., M.D.	NY	577	01/16/2012	Theft	01	2012
Robert Witham, MD, FACP	OR	11136	04/16/2012	Theft	04	2012
Policlinica La Familia IPA 343	PR	5994	01/11/2012	Theft	01	2012
Washington University School of Medicine	MO	1105	11/28/2012	Theft	11	2012
Alere Home Monitoring, Inc	CA	116506	09/23/2012	Theft	09	2012
Coastal home Respiratory, LLP	GA	3440	10/4/2012	Theft	10	2012
AccentCare Home Health of California, Inc. Medicare # 057564    CA state License # 080000226	CA	1000	04/20/2012 	Unauthorized Access/Disclosure	04	2012 
Colon & Digestive Health Specialists	AR	5713	07/16/2012	Loss	07	2012
The City of Henderson	KY	1008	06/27/2012	Other	06	2012
Blount Memorial Hospital, Inc	TN	27799	08/25/2012	Theft	08	2012
Molalla Family Dental	OR	4354	05/17/2012	Unauthorized Access/Disclosure, Hacking/IT Incident, Other	05	2012
Valley Plastic Surgery, P.C.	VA	4873	07/15/2012	Theft	07	2012
Desert AIDS Project	CA	4400	04/12/2012	Theft	04	2012
Adult & Child Center, Inc.	IN	550	05/10/2012	Hacking/IT Incident	05	2012
Calif. Dept. of Health Care Services (DHCS)	CA	2643	12/10/2012 	Unauthorized Access/Disclosure	12	2012 
Northern Trust	IL	500	09/13/2012	Unauthorized Access/Disclosure	09	2012
Brigham and Women's Hospital	MA	615	10/16/2012	Theft	10	2012
DFA, Employee Benefits Division	AR	7039	10/13/2012 	Other	10	2012 
Robbins Eye Center PC	CT	1749	10/7/2012	Theft	10	2012
Charlie Norwood VA Medical Center	GA	824	03/30/2012	Loss	03	2012
City of Atlanta/ Atlanta Fire Rescue Department	GA	908	06/15/2012	Theft	06	2012
WAYNE MEMORIAL HOSPITAL	PA	1184	12/3/2012	Loss	12	2012
South Carolina Department of Health and Human Services	SC	228435	01/31/2012 	Unauthorized Access/Disclosure	01	2012 
Apria Healthcare, Inc.	CA	65700	06/14/2012	Theft	06	2012
River Arch Dental	CA	2533	05/12/2012	Loss, Unauthorized Access/Disclosure, Unknown	05	2012
Berea College	KY	1000	01/24/2012	Other	01	2012
Cabinet for Health and Family Services, Department for Community Based Services (Protection and Permanency)	KY	2500	07/20/2012	Unauthorized Access/Disclosure	07	2012
Gibson General Hospital	IN	28893	11/27/2012	Theft	11	2012
CHRISTUS St. John Hospital	TX	5748	09/25/2012	Loss	09	2012
Diversified Support Services	IN	505	05/10/2012	Hacking/IT Incident	05	2012
Froedtert Health	WI	43549	10/27/2012	Unauthorized Access/Disclosure	10	2012
UPMC	PA	1279	11/05/2012 	Unauthorized Access/Disclosure	11	2012 
David DiGiallorenzo, D.M.D.	PA	2600	09/17/2012	Unauthorized Access/Disclosure, Hacking/IT Incident	09	2012
University of Houston for UH College of Optometry	TX	7000	02/22/2012	Unauthorized Access/Disclosure, Hacking/IT Incident	02	2012
West Georgia Ambulance	GA	500	12/13/2012	Loss	12	2012
Baillie Lumber Co. Group Health Plan	NY	725	11/27/2012	Theft	11	2012
St. Elizabeth's Medical Center	MA	6831	02/1/2012	Loss	02	2012
The Feinstein Institute for Medical Research	NY	13000	09/2/2012	Theft	09	2012
Lutheran Community Services Northwest	WA	756	03/29/2012	Theft	03	2012
Servicios Medicos Integrados de Fajardo	PR	10000	01/11/2012	Theft	01	2012
Tricounty Behavioral Health Clinic	GA	4000	08/26/2012	Theft	08	2012
Dimensions Healthcare System	MD	635	11/16/2012	Unauthorized Access/Disclosure	11	2012
Agency for Health Care Administration	FL	1892	11/01/2012 	Unauthorized Access/Disclosure	11	2012 
Utah Department of Health	UT	780000	03/10/2012	Hacking/IT Incident	03	2012
American HomePatient Inc. 	TN	1103	10/11/2012	Theft	10	2012
Alliant Health Plans, Inc.	GA	632	01/1/2012	Unauthorized Access/Disclosure	01	2012
Cuyahoga County Board of Developmental Disabilities	OH	613	11/2/2012	Theft	11	2012
Harbor Medical Associates, P.C.	MA	4343	10/18/2012 	Hacking/IT Incident	10	2012 
Nissan North America, Inc.	TN	1511	05/8/2012	Unauthorized Access/Disclosure	05	2012
Wolf & Yun	KY	824	04/24/2012	Theft	04	2012
Lee Miller Rehabilitation Associates	MD	10480	01/15/2012	Theft	01	2012
Litton & Giddings Radiological Associates, P.C.	MO	13074	07/31/2012 	Improper Disposal	07	2012 
Long Beach Memorial Medical Center	CA	2864	09/01/2012	Unauthorized Access/Disclosure	09	2012
Florida Healthy Kids Corporation	FL	3667	11/01/2012	Unauthorized Access/Disclosure	11	2012
Osceola County EMS 	FL	949	06/15/2012	Theft	06	2012
Pousson Family Dentistry	LA	1400	12/3/2012	Theft	12	2012
TLC DENTAL DANIA, LLC	FL	750	04/23/2012	Theft	04	2012
Kindred Healthcare Inc d/b/a Kindred Transitional Care and Rehabilitation-Sellersburg	IN	1504	06/01/2012	Theft	06	2012
City of Gloucester, Fire Department	MA	1286	06/15/2012	Theft	06	2012
Soundental Associates, PC	CT	14511	09/24/2012	Theft	09	2012
Kindred Healthcare, Inc. d/b/a Kindred Transitional Care and Rehabilitation - Marl	MA	716	12/15/2012	Theft	12	2012
Proveedores Aliados por tu SAlud	PR	4645	01/12/2012	Theft	01	2012
Physician's Automated Laboratory	CA	745	03/23/2012 	Theft	03	2012 
The Brookdale University Hospital and Medical Center	NY	28187	09/21/2012	Theft	09	2012
Original Medicine Acupuncture & Wellness, LLC	NM	540	09/07/2012 	Theft	09	2012 
The University of Texas MD Anderson Cancer Center	TX	2264	07/13/2012	Loss	07	2012
Liberty Resources, Inc.	PA	3183	08/4/2012	Theft	08	2012
Riderwood Village	MD	3230	11/18/2012	Theft	11	2012
UMASSAmherst	MA	1670	10/22/2012	Hacking/IT Incident	10	2012
Advanced Clinical Research Institute	CA	875	01/26/2012	Theft	01	2012
Advanced Data Processing, Inc.	FL	10000	06/15/2012 	Theft	06	2012 
Amerigroup Texas, Inc. 	VA	75026	04/1/2012	Theft	04	2012
Walgreen Co.	IL	1240	07/5/2012	Theft	07	2012
Stanford Hospital & Clinics and School of Medicine	CA	2300	07/15/2012 	Theft	07	2012 
Visiting Nurse Services of Iowa	IA	1298	05/27/2012	Theft	05	2012
CVS Caremark	RI	955	08/13/2012	Theft	08	2012
Cabinet for Health & Family Services, Department of Medicaid Services	KY	1090	11/15/2012	Hacking/IT Incident	11	2012
Boy Scouts of America Employee Benefit Plan	TX	8911	09/15/2012	Theft	09	2012
Robley Rex VA Medical Center 	KY	1182	01/9/2012	Other	01	2012
Northwestern Memorial Hospital	IL	4211	06/11/2012	Theft	06	2012
Terrell County Health Department	GA	18000	01/09/2012 	Unauthorized Access/Disclosure	01	2012 
Lutheran Social Services of South Central Pennsylvania	PA	7803	06/01/2012 	Hacking/IT Incident	06	2012 
Memorial Hospital	OH	500	08/29/2012	Improper Disposal	08	2012
Miami Beach Healthcare Group Ltd. dba Aventura Hospital and Medical Center	FL	2560	01/01/2012 	Theft	01	2012 
Detroit Medical Center - Harper University Hospital	MI	1087	09/7/2012	Theft, Unauthorized Access/Disclosure	09	2012
IU Medical Group	IN	1000	04/11/2012	Improper Disposal	04	2012
Shands Jacksonville Medical Center, Inc.	FL	1025	05/02/2012	Theft, Unauthorized Access/Disclosure	05	2012
Carolinas Medical Center - Randolph	NC	5600	03/11/2012 	Hacking/IT Incident	03	2012 
L.A. Care Health Plan	CA	18000	09/17/2012	Other	09	2012
Vidant Pungo Hospital	NC	1100	10/4/2012	Improper Disposal	10	2012
Midtown Mental Health Center	IN	890	05/10/2012	Hacking/IT Incident	05	2012
Regents of the University of Minnesota	MN	4786	03/29/2012	Unauthorized Access/Disclosure	03	2012
The Brookdale University Hospital and Medical Center	NY	2261	08/11/2012	Theft	08	2012
Kern Medical Center 	CA	1431	02/25/2012	Theft	02	2012
Child & Family Psychological Services, Inc.	MA	7250	10/18/2012	Hacking/IT Incident	10	2012
Metcare of Florida, Inc.	FL	2557	05/01/2012 	Theft	05	2012 
El Centro Regional Medical Center	CA	189489	11/7/2012	Improper Disposal	11	2012
Titus Regional Medical Center	TX	500	03/29/2012	Theft	03	2012
GLENS FALLS HOSPITAL	NY	2360	11/02/2012 	Theft	11	2012 
Titus Regional Medical Center	TX	5700	03/27/2012	Loss, Unknown	03	2012
Howard University Hospital	DC	66601	01/25/2012	Theft	01	2012
University of Kentucky HealthCare	KY	4490	05/1/2012	Theft	05	2012
Sumner County Emergency Medical Services	TN	774	06/15/2012 	Theft	06	2012 
Iowa Department of Human Services	IA	3000	02/06/2012 	Improper Disposal	02	2012 
TEMPLE COMMUNITY HOSPITAL	CA	603	07/3/2012	Theft	07	2012
BHcare, Inc	CT	5827	07/19/2012	Theft	07	2012
University of Miami	FL	64846	07/18/2012	Unauthorized Access/Disclosure, Other	07	2012
SwedishAmerican Health System	IL	1500	05/31/2012	Theft	05	2012
Oakland Vision Services, PC	MI	3000	04/9/2012	Hacking/IT Incident	04	2012
Seton Health Plan	TX	555	03/9/2012	Unauthorized Access/Disclosure	03	2012
Kansas Department on Aging	KS	7757	01/11/2012	Theft	01	2012
City of Overland Park Fire Department	FL	911	06/15/2012 	Theft	06	2012 
Oregon Health Authority	OR	550	04/13/2012	Theft	04	2012
University of New Mexico Health Sciences Center	NM	2365	05/21/2012	Hacking/IT Incident	05	2012
SURGICAL ASSOCIATES OF UTICA, PC	NY	1017	09/18/2012	Theft	09	2012
Sentara Healthcare	VA	56820	11/14/2012	Theft	11	2012
Centro de Servicios de Cuidados Dirigidos, Inc. d/b/a Metro Salud grupo Profesional	PR	27098	01/11/2012	Theft	01	2012
Landmark Medical Center	RI	683	10/1/2012	Theft	10	2012
State of California, Dept. of Developmental Services	CA	18162	11/10/2012	Theft	11	2012
Hartford Hospital	CT	2097	06/25/2012	Theft	06	2012
Mid America Health, Inc.	IN	1444	04/6/2012	Theft	04	2012
Indiana Internal Medicine Consultants	IN	20000	02/11/2012	Theft	02	2012
Associated Urologists of North Carolina	NC	7300	09/17/2012 	Other	09	2012 
Sovereign Medical Group, LLC	NJ	27800	10/10/2012	Theft, Hacking/IT Incident	10	2012
ABQ HealthPartners	NM	778	12/20/2012	Theft	12	2012
Ameritas Life Insurance Corp. 	NE	3000	03/21/2012	Theft	03	2012
University of Nevada School of Medicine	NV	1483	10/11/2012	Improper Disposal	10	2012
St. Joseph's Medical Center	CA	712	02/2/2012	Theft	02	2012
Rex Smith, DPM -Rex Smith Podiatry 	OR	20915	02/19/2012	Theft	02	2012
Georgia Health Sciences University	GA	513	01/18/2012	Theft	01	2012
Missouri Consolidated Health Care Plan	MO	10024	03/23/2012	Unauthorized Access/Disclosure	03	2012
Network Health Insurance Corporation	WI	3794	02/27/2012	Unauthorized Access/Disclosure	02	2012
County of Wayne Department of Personnel/Human Resources Benefits Administration Division	MI	1229	03/16/2012	Unauthorized Access/Disclosure	03	2012
Hogan Services Inc. Health Care Premium Plan	MO	1134	03/30/2012	Unauthorized Access/Disclosure	03	2012
University of Virginia Medical Center	VA	1846	10/5/2012	Loss	10	2012
Westerville Dental Center	OH	850	12/2/2012	Theft	12	2012
OHP PHSP, Inc.	NY	28187	08/31/2012 	Unauthorized Access/Disclosure	08	2012 
Baptist Health System	AR	811	10/13/2012	Other	10	2012
St. Therese Medical Group, Inc	CA	3031	07/22/2012	Theft	07	2012
Calvin Schuster,MD	CA	532	11/4/2012	Theft	11	2012
